Informazioni cronologiche,Language/Lingua:,What gender do you identify with?,How old are you?,Where are you from?,Did you continue your studies after high school?,Sesso:,Età:,Continente di provenienza:,Hai continuato gli studi dopo le scuole superiori?,What is your educational background?,In che campo hai studiato?,Are you employed?,Do you spend a lot of time outdoor?,Hai un lavoro?,Passi molto tempo all'aria aperta?,"Assuming you are interested in the product, which is the maximum amount of money you would pay for it? (€)","Assumendo ti interessi il prodotto, qual è la cifra massima che spenderesti per acquistarlo? (€)"
16/03/2019 12.08.01,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,60
16/03/2019 12.10.41,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,25
16/03/2019 12.12.28,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,400
16/03/2019 12.15.18,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,120
16/03/2019 12.19.00,Italiano,,,,,Femmina,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
16/03/2019 12.20.09,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,100
16/03/2019 12.22.12,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,200
16/03/2019 12.26.26,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,70
16/03/2019 12.28.21,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,100
16/03/2019 12.40.17,English,Female,25,Asia,Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,No,,,80,
16/03/2019 12.45.57,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,60
16/03/2019 12.46.43,Italiano,,,,,Femmina,51,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,Sì,,50
16/03/2019 12.47.56,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,75
16/03/2019 13.03.29,Italiano,,,,,Femmina,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,200
16/03/2019 13.03.41,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,180
16/03/2019 13.04.02,Italiano,,,,,Femmina,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,100
16/03/2019 13.04.19,Italiano,,,,,Femmina,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
16/03/2019 13.04.29,Italiano,,,,,Femmina,55,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,200
16/03/2019 13.06.39,Italiano,,,,,Femmina,40,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,50
16/03/2019 13.12.43,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,45
16/03/2019 13.17.36,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,450
16/03/2019 13.17.41,Italiano,,,,,Femmina,18,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,Sì,,70
16/03/2019 13.17.54,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,Sì,,80
16/03/2019 13.31.40,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,200
16/03/2019 13.32.17,Italiano,,,,,Maschio,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,40
16/03/2019 13.36.08,Italiano,,,,,Femmina,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,30
16/03/2019 13.38.38,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,100
16/03/2019 13.43.09,English,Male,21,"Western Europe (Austria, Belgium, France, Germany, Netherlands, Switzerland, ...)",Yes,,,,,"Scientific (Engineering, Maths, Medicine...)",,No,Yes,,,40,
16/03/2019 13.45.39,Italiano,,,,,Femmina,18,"Europa Occidentale (Austria, Belgio, Francia, Germania, Paesi Bassi, Svizzera, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,30
16/03/2019 13.50.11,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,100
16/03/2019 13.52.41,Italiano,,,,,Femmina,32,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,150
16/03/2019 14.01.10,Italiano,,,,,Femmina,26,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
16/03/2019 14.09.33,Italiano,,,,,Femmina,50,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,100
16/03/2019 14.15.41,Italiano,,,,,Femmina,47,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,120.00
16/03/2019 14.16.05,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,110
16/03/2019 14.25.05,Italiano,,,,,Femmina,47,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,60
16/03/2019 14.30.52,Italiano,,,,,Femmina,51,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,100
16/03/2019 14.31.38,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,60
16/03/2019 14.36.31,Italiano,,,,,Femmina,53,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,150
16/03/2019 14.40.20,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,200
16/03/2019 14.40.39,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,50
16/03/2019 14.41.09,Italiano,,,,,Femmina,35,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,50
16/03/2019 14.45.08,Italiano,,,,,Femmina,32,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,80
16/03/2019 14.48.45,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
16/03/2019 15.09.10,Italiano,,,,,Femmina,31,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,120
16/03/2019 15.15.22,Italiano,,,,,Femmina,60,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,100
16/03/2019 15.20.02,Italiano,,,,,Femmina,24,"Europa Orientale (Repubblica Ceca, Estonia, Ungheria, Lettonia, Lituania, Russia, ... )",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,90
16/03/2019 15.20.22,Italiano,,,,,Femmina,45,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,100
16/03/2019 15.36.00,English,Female,23,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,Yes,Yes,,,230,
16/03/2019 15.57.14,Italiano,,,,,Femmina,38,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
16/03/2019 16.02.51,Italiano,,,,,Maschio,18,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,230
16/03/2019 16.04.20,Italiano,,,,,Femmina,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,90
16/03/2019 16.09.27,Italiano,,,,,Maschio,28,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,100
16/03/2019 16.22.46,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,150
16/03/2019 16.25.18,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
16/03/2019 16.40.46,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,0
16/03/2019 16.48.35,Italiano,,,,,Maschio,46,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,250
16/03/2019 16.52.45,Italiano,,,,,Maschio,54,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,No,,50
16/03/2019 16.54.58,Italiano,,,,,Maschio,26,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,100
16/03/2019 18.02.50,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,80
16/03/2019 18.06.49,Italiano,,,,,Femmina,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,100
16/03/2019 18.53.07,Italiano,,,,,Maschio,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,150
16/03/2019 19.31.16,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,150
16/03/2019 20.25.36,Italiano,,,,,Femmina,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,200
17/03/2019 0.35.20,English,Female,23,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,Yes,Yes,,,230,
17/03/2019 0.59.41,Italiano,,,,,Maschio,39,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,60
17/03/2019 1.00.42,Italiano,,,,,Maschio,39,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,60
17/03/2019 2.36.57,Italiano,,,,,Femmina,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,200
17/03/2019 5.56.25,Italiano,,,,,Femmina,64,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,Sì,No,,200
17/03/2019 6.00.55,Italiano,,,,,Femmina,64,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,Sì,,200
17/03/2019 6.55.18,Italiano,,,,,Femmina,45,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,100
17/03/2019 7.05.25,Italiano,,,,,Femmina,45,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,200
17/03/2019 7.16.00,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,60
17/03/2019 9.16.59,Italiano,,,,,Femmina,38,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
17/03/2019 10.00.45,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,100
17/03/2019 10.08.14,Italiano,,,,,Femmina,55,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,No,,40
17/03/2019 10.11.09,Italiano,,,,,Femmina,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,150
17/03/2019 10.19.38,Italiano,,,,,Femmina,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,300
17/03/2019 10.40.34,Italiano,,,,,Femmina,17,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,30
17/03/2019 10.48.15,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,40
17/03/2019 10.51.10,Italiano,,,,,Maschio,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,175
17/03/2019 10.51.10,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,100
17/03/2019 10.51.25,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,50
17/03/2019 10.55.47,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,150
17/03/2019 10.56.01,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,30
17/03/2019 10.56.03,Italiano,,,,,Maschio,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,250
17/03/2019 10.56.13,Italiano,,,,,Maschio,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,250
17/03/2019 10.56.36,English,Female,20,"Western Europe (Austria, Belgium, France, Germany, Netherlands, Switzerland, ...)",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,Yes,,,40,
17/03/2019 10.58.45,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,100
17/03/2019 11.00.58,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,40
17/03/2019 11.01.32,English,Male,19,"Western Europe (Austria, Belgium, France, Germany, Netherlands, Switzerland, ...)",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,No,,,70,
17/03/2019 11.03.02,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,150
17/03/2019 11.03.52,Italiano,,,,,Femmina,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,50
17/03/2019 11.04.14,English,Female,20,"Southern Europe (Greece, Italy, Portugal, Spain, ...)",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,No,,,150,
17/03/2019 11.05.35,English,Female,21,Africa,Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,No,,,70,
17/03/2019 11.05.42,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,180
17/03/2019 11.07.48,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,30
17/03/2019 11.08.31,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,80
17/03/2019 11.23.51,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,70
17/03/2019 11.24.02,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,60
17/03/2019 11.28.01,Italiano,,,,,Maschio,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,100
17/03/2019 11.33.15,English,Female,20,"Western Europe (Austria, Belgium, France, Germany, Netherlands, Switzerland, ...)",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,Yes,No,,,50,
17/03/2019 11.36.08,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,60
17/03/2019 11.36.52,Italiano,,,,,Maschio,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,70
17/03/2019 11.38.14,English,Female,29,South America,Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,No,,,20,
17/03/2019 11.43.39,Italiano,,,,,Femmina,19,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,50
17/03/2019 11.49.43,Italiano,,,,,Maschio,21,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,39
17/03/2019 11.56.16,English,Female,19,"Western Europe (Austria, Belgium, France, Germany, Netherlands, Switzerland, ...)",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,No,,,30,
17/03/2019 12.08.58,English,Female,19,"Western Europe (Austria, Belgium, France, Germany, Netherlands, Switzerland, ...)",Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,Yes,Yes,,,35,
17/03/2019 12.38.22,Italiano,,,,,Maschio,50,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,100
17/03/2019 12.40.44,Italiano,,,,,Maschio,56,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,25
17/03/2019 13.12.27,Italiano,,,,,Maschio,26,"Europa Orientale (Repubblica Ceca, Estonia, Ungheria, Lettonia, Lituania, Russia, ... )",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,200
17/03/2019 14.12.00,Italiano,,,,,Maschio,18,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,Sì,,100
17/03/2019 14.14.16,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,No,,30
17/03/2019 14.15.09,Italiano,,,,,Femmina,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,300
17/03/2019 14.16.49,Italiano,,,,,Femmina,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,300
17/03/2019 14.18.02,Italiano,,,,,Femmina,22,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,250
17/03/2019 14.24.41,Italiano,,,,,Femmina,43,Africa,No,,,,,Sì,No,,90
17/03/2019 16.54.20,Italiano,,,,,Maschio,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,250
17/03/2019 17.03.02,Italiano,,,,,Maschio,24,Asia,Sì,,"Artistico (Arti, Design, Architettura, ...)",,,Sì,No,,450
17/03/2019 17.06.51,Italiano,,,,,Femmina,27,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,No,,250
17/03/2019 17.07.56,English,Female,24,South America,No,,,,,,,No,No,,,19,
17/03/2019 17.08.35,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,Sì,,200
17/03/2019 17.14.27,Italiano,,,,,Femmina,28,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,110
17/03/2019 17.16.22,Italiano,,,,,Maschio,29,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,80
17/03/2019 17.17.37,Italiano,,,,,Maschio,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,450
17/03/2019 17.19.25,Italiano,,,,,Maschio,29,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,Sì,,120
17/03/2019 17.23.58,English,Female,21,South America,Yes,,,,,"Humanistic (Languages, Law, Literature, ...)",,No,No,,,30,
17/03/2019 17.51.05,Italiano,,,,,Femmina,23,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,63
17/03/2019 18.00.07,Italiano,,,,,Maschio,26,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,100
17/03/2019 18.03.56,Italiano,,,,,Femmina,28,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,Sì,,300
17/03/2019 18.05.09,Italiano,,,,,Maschio,25,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,Sì,No,,400
17/03/2019 18.46.26,Italiano,,,,,Maschio,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,Sì,,60
18/03/2019 1.12.51,Italiano,,,,,Femmina,27,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,Sì,No,,250
18/03/2019 1.53.18,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,Sì,,120
18/03/2019 1.58.53,Italiano,,,,,Femmina,24,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Artistico (Arti, Design, Architettura, ...)",,,No,No,,30
18/03/2019 2.01.43,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,50
18/03/2019 2.51.02,Italiano,,,,,Femmina,55,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,Sì,No,,150
18/03/2019 2.55.41,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Scientifico (Ingegneria, Matematica, Medicina...)",,,No,No,,200
18/03/2019 2.55.44,Italiano,,,,,Femmina,29,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,No,,15
18/03/2019 4.49.04,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",No,,,,,No,Sì,,280
18/03/2019 5.38.12,Italiano,,,,,Femmina,20,"Europa Meridionale (Grecia, Italia, Portogallo, Spagna, ...)",Sì,,"Umanistico (Lingue, Legge, Letteratura, ...)",,,No,Sì,,150
